±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®
´ÏÄÌ,refined,EUROPE,Kosovo,ÃµÅæ,7.5,4.436,7.607,6.724,6.65,2.519,8.501,4.388,5.234,7.811,5.911,0
´ÏÄÌ,refined,EUROPE,Macedonia,ÃµÅæ,17.292,19.247,20.001,18.054,17.699,10.607,7.175,10.1,15.202,17.747,17.714,8.349
´ÏÄÌ,refined,EUROPE,Norway,ÃµÅæ,92.427,91.687,91,90.5,91.2,92.7,86.5,90.8,92.1,91.1,91.2,81.9
´ÏÄÌ,refined,EUROPE,Poland,ÃµÅæ,0.85,0.8,0.6,0.78,0.84,0.77,0.72,0.7,0.72,0.71,0.72,0.72
´ÏÄÌ,refined,EUROPE,Russia,ÃµÅæ,266,254,242,239.436,231.916,192.095,157.395,150.325,154.058,154.402,121.088,156.4
´ÏÄÌ,refined,EUROPE,Ukraine,ÃµÅæ,22.475,20.833,26.751,25.129,20.842,18.92,15.605,16.331,15.133,15.91,15.657,10.093
´ÏÄÌ,refined,EUROPE,United Kingdom,ÃµÅæ,37.4,39.4,42.4,39.1,39.094,43.104,37.09,38.211,34.976,35.177,30.654,33.402
´ÏÄÌ,refined,AFRICA,Madagascar,ÃµÅæ,0,5.695,25.149,37.054,47.271,42.105,35.474,33.183,33.733,9.9,29.352,31.744
´ÏÄÌ,refined,AFRICA,South Africa,ÃµÅæ,36,32.5,32.3,34.7,41.957,42.11,42.988,39.494,39.137,29.122,37.958,40.098
´ÏÄÌ,refined,AFRICA,Zimbabwe,ÃµÅæ,3.7,1.8,2.8,2,0,0,0,0,0,0,0,0
´ÏÄÌ,refined,ASIA,China,ÃµÅæ,469.744,590.872,710.657,537.137,453.197,436.973,620.982,732.919,852.375,752.189,813.79,758.355
´ÏÄÌ,refined,ASIA,India,ÃµÅæ,0,0,1.01,2.028,1.861,0.329,0.092,0.077,0.055,0,0,0
´ÏÄÌ,refined,ASIA,Indonesia,ÃµÅæ,19.69,18.373,22.849,21.603,47.43,105.071,197.338,287.736,386.418,630.358,873.144,1167.163
´ÏÄÌ,refined,ASIA,Japan,ÃµÅæ,156.883,169.556,177.81,177.782,192.789,195.565,187.046,186.736,182.652,171.044,180.721,165.143
´ÏÄÌ,refined,ASIA,Myanmar,ÃµÅæ,0,4.9,1.67,19.714,22.902,22.6,21.785,17.802,14.445,24.539,21.127,10.834
´ÏÄÌ,refined,ASIA,South Korea,ÃµÅæ,16.863,23.673,28.13,24.964,39.007,45.616,47.402,45.593,46.269,45.604,47.27,31.959
´ÏÄÌ,refined,AMERICA,Brazil,ÃµÅæ,43.222,58.779,56.224,75.324,70.586,77.162,68.5,65.2,54.2,59.5,60.8,64.6
´ÏÄÌ,refined,AMERICA,Canada,ÃµÅæ,142.445,146.85,152.728,149.486,149.717,158.299,154.759,137.411,124.838,124.043,118.985,90.583
´ÏÄÌ,refined,AMERICA,Colombia,ÃµÅæ,37.818,51.594,49.386,41.2,36.7,37.085,40.6,43.1,40.6,36.1,38.3,41.8
´ÏÄÌ,refined,AMERICA,Cuba,ÃµÅæ,33.98,30.331,16.616,13.252,14.667,15.006,15.751,14.669,12.938,13.083,15,15
´ÏÄÌ,refined,AMERICA,Dominican Republic,ÃµÅæ,13.498,15.186,9.4,0,0,9.913,15.632,19.214,28.45,21.316,27.32,29.477
